"season","week","franchise_id","franchise_score","opponent_id","opponent_score","result"
"2024","6","10","53.6","3","111.74","L"
"2024","6","11","98","13","0","W"
"2024","6","12","129.6","9","124.36","W"
"2024","6","13","0","11","98","L"
"2024","6","14","0","5","114.5","L"
"2024","7","1","109.8","8","0","W"
"2024","7","2","140.42","14","0","W"
"2024","7","3","101.46","13","0","W"
"2024","7","4","146.46","10","0","W"
"2024","7","5","96.88","9","98.86","L"
"2024","7","6","133.5","11","82.98","W"
"2024","7","7","127.84","12","121","W"
"2024","7","8","0","1","109.8","L"
"2024","7","9","98.86","5","96.88","W"
"2024","7","10","0","4","146.46","L"
"2024","7","11","82.98","6","133.5","L"
"2024","7","12","121","7","127.84","L"
"2024","7","13","0","3","101.46","L"
"2024","7","14","0","2","140.42","L"
"2024","8","1","136.96","10","0","W"
"2024","8","2","150.52","5","154.84","L"
"2024","8","3","123.66","6","123.08","W"
"2024","8","4","155.76","13","0","W"
"2024","8","5","154.84","2","150.52","W"
"2024","8","6","123.08","3","123.66","L"
"2024","8","7","134.32","9","122.44","W"
"2024","8","8","0","14","0","T"
"2024","8","9","122.44","7","134.32","L"
"2024","8","10","0","1","136.96","L"
"2024","8","11","0","12","139","L"
"2024","8","12","139","11","0","W"
"2024","8","13","0","4","155.76","L"
"2024","8","14","0","8","0","T"
"2024","9","1","93.34","5","145.68","L"
"2024","9","2","99.6","7","139.42","L"
"2024","9","3","160.12","12","179.4","L"
"2024","9","4","121","6","120.8","W"
"2024","9","5","145.68","1","93.34","W"
"2024","9","6","120.8","4","121","L"
"2024","9","7","139.42","2","99.6","W"
"2024","9","8","0","9","0","T"
"2024","9","9","0","8","0","T"
"2024","9","10","0","14","0","T"
"2024","9","11","0","13","0","T"
"2024","9","12","179.4","3","160.12","W"
"2024","9","13","0","11","0","T"
"2024","9","14","0","10","0","T"
"2024","10","1","0","6","83.1","L"
"2024","10","2","110.3","5","183.72","L"
"2024","10","3","130.76","7","100.6","W"
"2024","10","4","135.08","12","131.22","W"
"2024","10","5","183.72","2","110.3","W"
"2024","10","6","83.1","1","0","W"
"2024","10","7","100.6","3","130.76","L"
"2024","10","8","0","10","0","T"
"2024","10","9","0","11","0","T"
