"week","franchise_id","franchise_score","opponent_id","opponent_score","result","season"
"6","9","248.24","12","152.32","W","2023"
"6","10","115.96","13","220.9","L","2023"
"6","11","170.76","8","171.98","L","2023"
"6","12","152.32","9","248.24","L","2023"
"6","13","220.9","10","115.96","W","2023"
"6","14","211.78","2","192.94","W","2023"
"7","1","194.92","13","210.46","L","2023"
"7","2","216.84","3","134.04","W","2023"
"7","3","134.04","2","216.84","L","2023"
"7","4","198.3","10","81.14","W","2023"
"7","5","251.52","9","215.2","W","2023"
"7","6","174.04","12","153.3","W","2023"
"7","7","210.94","8","129.72","W","2023"
"7","8","129.72","7","210.94","L","2023"
"7","9","215.2","5","251.52","L","2023"
"7","10","81.14","4","198.3","L","2023"
"7","11","119.56","14","207.2","L","2023"
"7","12","153.3","6","174.04","L","2023"
"7","13","210.46","1","194.92","W","2023"
"7","14","207.2","11","119.56","W","2023"
"8","1","261.92","2","239.08","W","2023"
"8","2","239.08","1","261.92","L","2023"
"8","3","152.1","12","171.8","L","2023"
"8","4","188.56","9","144.68","W","2023"
"8","5","224.68","8","185.62","W","2023"
"8","6","256.88","10","122.56","W","2023"
"8","7","187.28","11","184.72","W","2023"
"8","8","185.62","5","224.68","L","2023"
"8","9","144.68","4","188.56","L","2023"
"8","10","122.56","6","256.88","L","2023"
"8","11","184.72","7","187.28","L","2023"
"8","12","171.8","3","152.1","W","2023"
"8","13","220.82","14","264.48","L","2023"
"8","14","264.48","13","220.82","W","2023"
"9","1","236.84","10","108.74","W","2023"
"9","2","143.8","6","162.4","L","2023"
"9","3","149.38","13","198.62","L","2023"
"9","4","197.44","5","141.26","W","2023"
"9","5","141.26","4","197.44","L","2023"
"9","6","162.4","2","143.8","W","2023"
"9","7","209.88","12","195.26","W","2023"
"9","8","129.72","14","209.38","L","2023"
"9","9","200.44","11","200.7","L","2023"
"9","10","108.74","1","236.84","L","2023"
"9","11","200.7","9","200.44","W","2023"
"9","12","195.26","7","209.88","L","2023"
"9","13","198.62","3","149.38","W","2023"
"9","14","209.38","8","129.72","W","2023"
"10","1","228.76","7","171.54","W","2023"
"10","2","213.56","9","167.24","W","2023"
"10","3","149.96","10","178.4","L","2023"
"10","4","150.84","14","258.28","L","2023"
"10","5","193.82","12","170.72","W","2023"
"10","6","233.84","11","145.56","W","2023"
"10","7","171.54","1","228.76","L","2023"
"10","8","173.58","13","240.98","L","2023"
"10","9","167.24","2","213.56","L","2023"
"10","10","178.4","3","149.96","W","2023"
"10","11","145.56","6","233.84","L","2023"
"10","12","170.72","5","193.82","L","2023"
"10","13","240.98","8","173.58","W","2023"
"10","14","258.28","4","150.84","W","2023"
"11","1","219.34","12","145.5","W","2023"
"11","2","239.66","4","152.64","W","2023"
"11","3","141.62","7","180.3","L","2023"
"11","4","152.64","2","239.66","L","2023"
"11","5","202.22","10","125.22","W","2023"
"11","6","218.3","8","203.34","W","2023"
"11","7","180.3","3","141.62","W","2023"
"11","8","203.34","6","218.3","L","2023"
"11","9","146.28","14","138.5","W","2023"
"11","10","125.22","5","202.22","L","2023"
"11","11","157.2","13","182.64","L","2023"
"11","12","145.5","1","219.34","L","2023"
"11","13","182.64","11","157.2","W","2023"
"11","14","138.5","9","146.28","L","2023"
